0,1,2,3,4,5,6,7
Caddo,2-Dec-1921,Grounded,Off Barnegat,Slight Damage,February 1922,82,
Chemung,2-Dec-1921,Unknown,Near Fort Adams,Sank,February 1922,82,
Hydrus,2-Dec-1921,Ashore,Whisky Island,Slight Damage,February 1922,82,
Caddo,3-Dec-1921,Ashore,Near Barnegat,Not Stated,January 1922,30,
Cambria,3-Dec-1921,Collision,Irish Sea,Undamaged,January 1922,30,
Chemung,3-Dec-1921,Disabled,"Newport, Rhode Island",Sank,January 1922,30,
Lila Boutilier,3-Dec-1921,Fire,At Sea,Abandoned,February 1922,82,
Olwen,4-Dec-1921,"Leaking, Abandoned",At Sea,Set on fire,February 1922,83,
Brant County,5-Dec-1921,Disabled,Quebec,Tanks damaged,February 1922,82,
Collingsworth,5-Dec-1921,Grounded,Galveston,Slight Damage,February 1922,82,
Glengarock,5-Dec-1921,"Dragged Anchor, Struck Rock",St.  Johns Harbor,Damage to windlass,February 1922,82,
Harmony,5-Dec-1921,Gale,Off Harvey,Damage to deck and bridge,February 1922,82,
Kinsman,5-Dec-1921,Sinking,At Sea,Abandoned,February 1922,82,
Little Princess,5-Dec-1921,"Gale, Dragged Anchor",Off  Harvey,Slight Damage,February 1922,82,
Novelty,5-Dec-1921,"Gale, Dragged Anchor",Off Harvey,Minor damage,February 1922,82,
W. J. Conners,5-Dec-1921,Disabled,Soo,Slight Damage,February 1922,83,
A. H. Hardy,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,82,
Agnes Downs,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,82,
Albert E. Watts,6-Dec-1921,Collision,Near Port Arthur,Damage to deck,February 1922,82,
Bethlehem,6-Dec-1921,Disabled,"Off Shippegan, New Brunswick",Lost Rudder,February 1922,82,
Cowrie,6-Dec-1921,Collision,Near Port Arthur,Slight Damage,February 1922,82,
Dianthus,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,82,
George B. Mackenzie,6-Dec-1921,Heavy Seas,East of Watch Hill,Boiler tubes disabled,February 1922,82,
Gordon,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,82,
Manchuria,6-Dec-1921,Collision,Hamburg,Rudder damaged,February 1922,82,
Medina,6-Dec-1921,In Ballast,"Off Merasheem, Newfoundland",Abandoned,February 1922,82,
Natoma,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,82,
Nobles,6-Dec-1921,Stranded,Pelican Shoals,Not Stated,February 1922,82,
Olive  Evans,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,83,
Pansy,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,83,
Passiport,6-Dec-1921,Hurricane,Bay Verde,Sank,February 1922,83,
Prospector,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,83,
Sagua,6-Dec-1921,Ashore,Passes,Not Stated,February 1922,83,
Theresa Stone,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,83,
W. O. Galatea,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,83,
W. S. Monroe,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,83,
William Donovan,6-Dec-1921,Leaking,Columbia River,Not Stated,February 1922,83,
William Martin,6-Dec-1921,Hurricane,At Sea,Lost,February 1922,83,
Aeolus,7-Dec-1921,Disabled,Gravesend Bay,Engine trouble,February 1922,82,
Bolton Castle,7-Dec-1921,Disabled,"Highlands, New Jersey",Not Stated,February 1922,82,
Cactus,7-Dec-1921,Not Stated,Trinity Bay,Total loss,February 1922,82,
Drummers Tax,7-Dec-1921,Ashore,Bonavista,Not Stated,February 1922,82,
Francis,7-Dec-1921,Disabled,Off Florida Coast,Bottom Up,February 1922,82,
Jean & Mary,7-Dec-1921,Not Stated,Penguin Islands,Total loss,February 1922,82,
John Westerly,7-Dec-1921,Ashore,Off Cape Hatteras,Not Stated,February 1922,82,
Karachi Maru,7-Dec-1921,Disabled,West of Cape Flattery,Not Stated,February 1922,82,
Olympe,7-Dec-1921,Grounded,"Newcastle, Delaware",Not Stated,February 1922,83,
Ruby,7-Dec-1921,Wrecked,East of New York,Set on fire,February 1922,83,
Ruby W.,7-Dec-1921,Abandoned,At Sea,Not Stated,March 1922,125,
